订单号,日期,渠道,商品ID,商品名称,单价,数量,金额,用户ID,收货省份,订单状态,商品品类,承诺发货时效,物流商,承诺送达时效,发货时间,签收时间,退款原因,原始日期,原金额,是否有效订单
DD202401244,2024-12-13,京东,P008,索尼 WH-1000XM5 耳机 ,2399.0,0.0,0.0,U0679,浙江,已完成,手机数码,2.0,圆通,4.0,2024-12-15,2024-12-18,,2024/12/13,,True
DD202401197,2024-06-07,京东,P047,全棉时代 浴巾,79.0,1.0,79.0,U0368,北京,已发货,家居日用,2.0,圆通,4.0,2024-06-09,,,2024/6/7,79.0,True
DD202401572,2024-01-27,天猫,P007,AirPods Pro 2,1899.0,-3.0,-5697.0,U1403,黑龙江,已退款,手机数码,,未知,,,,质量问题,2024-01-27,-5697.0,False
DD202400801,2024-05-23,京东,P034,雅诗兰黛小棕瓶,950.0,3.0,2850.0,U1194,湖南,已发货,美妆个护,2.0,中通,4.0,2024-05-25,,,2024/5/23,2850.0,True
DD202400150,2024-04-26,微信小程序,P010,小米 充电宝20000mAh,129.0,5.0,645.0,U0852,上海,已发货,手机数码,1.0,顺丰,3.0,2024-04-27,,,2024-04-26,645.0,True
DD202402913,2024-03-04,京东,P035,欧莱雅洗面奶,129.0,1.0,129.0,U1133,广东,已取消,美妆个护,,未知,,,,,2024-03-04,129.0,False
DD202401646,2024-08-24,拼多多,P040,三只松鼠 坚果礼盒,99.0,2.0,198.0,U0149,广东,已完成,食品,2.0,圆通,4.0,2024-08-26,2024-08-31,,2024-08-24,198.0,True
DD202400680,2024-04-08,天猫,P035,欧莱雅 洗面奶,129.0,3.0,387.0,U0498,广东,已完成,美妆个护,1.0,京东物流,3.0,2024-04-09,2024-04-13,,2024-04-08,387.0,True
DD202402356,2024-07-24,抖音,P033,兰蔻 小黑瓶精华 ,,,,U1031,浙江,已发货,美妆个护,2.0,中通,4.0,2024-07-26,,,2024-07-24,,True
DD202400069,2024-12-21,天猫,P018,美的1.5匹空调,2799.0,1.0,2799.0,U0762,上海,已完成,家电,2.0,圆通,4.0,2024-12-23,2024-12-27,,2024-12-21,2799.0,True
DD202402213,2024-12-16,抖音,P034,雅诗兰黛小棕瓶,950.0,-3.0,-2850.0,U1252,河南,已退款,美妆个护,,未知,,,,物流太慢,2024/12/16,-2850.0,False
DD202402903,2024-08-02,天猫,P018,美的 1.5匹空调,2799.0,2.0,5598.0,U0013,广东,已完成,家电,2.0,中通,4.0,2024-08-04,2024-08-08,,2024-08-02,5598.0,True
DD202401439,2024-07-14,抖音,P050,宜家 收纳箱,69.0,1.0,69.0,U0012,山东,待发货,家居日用,,未知,,,,,2024-07-14,69.0,True
DD202401727,2024-12-28,天猫,P009,小米手环8,249.0,1.0,249.0,U1495,江苏,已发货,手机数码,1.0,顺丰,3.0,2024-12-29,,,2024-12-28,249.0,True
DD202400862,2024-11-01,京东,P011,罗技 MX Master 3S 鼠标,699.0,5.0,3495.0,U0896,甘肃,待发货,电脑办公,,未知,,,,,2024/11/1,3495.0,True
DD202400501,2024-12-12,抖音,P036,云南白药 牙膏,39.9,4.0,159.6,U0304,山东,已发货,美妆个护,2.0,中通,4.0,2024-12-14,,,2024-12-12,159.6,True
DD202400377,2024-11-22,京东,P020,格力 电风扇,199.0,3.0,597.0,U0433,湖北,已完成,家电,2.0,中通,4.0,2024-11-24,2024-11-27,,2024-11-22,597.0,True
DD202402039,2024-01-22,京东,P007,AirPods Pro 2,1899.0,5.0,9495.0,U0440,山东,已完成,手机数码,1.0,京东物流,3.0,2024-01-23,2024-01-27,,2024/1/22,9495.0,True
DD202401934,2024-02-20,天猫,P038,全棉时代 洗脸巾,49.9,2.0,99.8,U0373,江苏,已发货,美妆个护,1.0,顺丰,3.0,2024-02-21,,,2024-02-20,99.8,True
DD202401739,2024-07-26,京东,P038,全棉时代 洗脸巾,49.9,4.0,199.6,U1490,天津,待发货,美妆个护,,未知,,,,,2024-07-26,199.6,True
DD202402834,2024-09-26,拼多多,P008,索尼 WH-1000XM5 耳机,2399.0,4.0,9596.0,U1191,吉林,待发货,手机数码,,未知,,,,,2024/9/26,9596.0,True
DD202402884,2024-12-10,天猫,P036,云南白药 牙膏,39.9,1.0,39.9,未知,陕西,已发货,美妆个护,1.0,京东物流,3.0,2024-12-11,,,2024/12/10,39.9,True
DD202402957,2024-11-23,抖音,P021,米家扫地机器人,1599.0,5.0,7995.0,U0198,福建,已完成,家电,1.0,顺丰,3.0,2024-11-24,2024-11-25,,2024-11-23,7995.0,True
DD202401141,2024-06-14,天猫,P049,苏泊尔 炒锅,159.0,2.0,318.0,U1142,安徽,已完成,家居日用,2.0,中通,4.0,2024-06-15,2024-06-18,,2024-06-14,318.0,True
DD202401519,2024-11-13,京东,P010,小米 充电宝20000mah,129.0,1.0,129.0,U0514,浙江,已发货,手机数码,2.0,中通,4.0,2024-11-14,,,2024-11-13,129.0,True
DD202400611,2024-05-29,天猫,P008,索尼 WH-1000XM5 耳机,2399.0,5.0,11995.0,U0814,广东,已取消,手机数码,,未知,,,,,2024-05-29,11995.0,False
DD202402288,2024-03-12,微信小程序,P038,全棉时代 洗脸巾,49.9,4.0,199.6,U0755,海南,已发货,美妆个护,1.0,京东物流,3.0,2024-03-13,,,2024-03-12,199.6,True
DD202402649,2024-05-17,拼多多,P019,海尔 10kg 滚筒洗衣机,1899.0,1.0,1899.0,U1046,海南,已取消,家电,,未知,,,,,2024-05-17,1899.0,False
DD202400303,2024-07-02,天猫,P038,全棉时代洗脸巾,49.9,3.0,149.7,U0696,河南,已发货,美妆个护,3.0,邮政,6.0,2024-07-06,,,2024-07-02,149.7,True
DD202401394,2024-01-06,天猫,P017,得力 文件夹,15.9,3.0,47.7,U0680,广东,已完成,电脑办公,2.0,圆通,4.0,2024-01-08,2024-01-13,,2024-01-06,47.7,True
DD202401901,2024-02-28,抖音,P046,网易严选 保温杯,99.0,4.0,396.0,U0727,四川,已发货,家居日用,1.0,京东物流,3.0,2024-02-29,,,2024-02-28,396.0,True
DD202402439,2024-11-13,拼多多,P042,农夫山泉矿泉水,36.0,1.0,36.0,U0327,浙江,已完成,食品,1.0,京东物流,3.0,2024-11-14,2024-11-16,,2024-11-13,36.0,True
DD202402089,2024-07-02,天猫,P034,雅诗兰黛 小棕瓶 ,950.0,4.0,3800.0,U0288,湖北,已取消,美妆个护,,未知,,,,,2024-07-02,1900.0,False
DD202400947,2024-01-09,抖音,P011,罗技MXMaster3S鼠标,699.0,5.0,3495.0,U0388,福建,已完成,电脑办公,1.0,顺丰,3.0,2024-01-10,2024-01-11,,2024-01-09,3495.0,True
DD202402383,2024-04-01,抖音,未知,优衣库 圆领T恤,79.0,2.0,158.0,U0408,河南,已完成,服饰,1.0,顺丰,3.0,2024-04-02,2024-04-04,,2024-04-01,158.0,True
DD202400024,2024-11-30,天猫,P005,荣耀 Magic6,3999.0,4.0,15996.0,U0105,江苏,已完成,手机数码,1.0,京东物流,3.0,2024-12-01,2024-12-03,,2024/11/30,15996.0,True
DD202401617,2024-08-24,天猫,P034,雅诗兰黛 小棕瓶,950.0,5.0,4750.0,U0211,广东,已完成,美妆个护,2.0,圆通,4.0,2024-08-26,2024-08-31,,2024-08-24,4750.0,True
DD202400523,2024-03-04,天猫,P004,小米 14 12+256G,4299.0,3.0,12897.0,U0815,河南,已发货,手机数码,1.0,顺丰,3.0,2024-03-05,,,2024/3/4,12897.0,True
DD202401758,2024-03-20,拼多多,P002,iPhone15Pro256G,8999.0,-1.0,-8999.0,U0261,河北,已退款,手机数码,,未知,,,,物流太慢,2024-03-20,-8999.0,False
DD202402454,2024-10-06,拼多多,P012,机械键盘 87键,199.0,4.0,796.0,U0845,江西,已完成,电脑办公,1.0,顺丰,3.0,2024-10-07,2024-10-09,,2024-10-06,796.0,True
DD202400918,2024-06-24,京东,P046,网易严选保温杯,99.0,1.0,99.0,U0047,陕西,已完成,家居日用,1.0,京东物流,3.0,2024-06-25,2024-06-27,,2024-06-24,99.0,True
DD202401569,2024-07-18,京东,P017,得力文件夹,15.9,4.0,63.6,U1489,广东,已完成,电脑办公,1.0,京东物流,3.0,2024-07-19,2024-07-21,,2024-07-18,63.6,True
DD202400842,2024-06-01,天猫,P046,网易严选 保温杯,99.0,5.0,495.0,U0129,江苏,待发货,家居日用,,未知,,,,,2024/6/1,495.0,True
DD202401706,2024-09-21,天猫,P002,iPhone 15 Pro 256G,8999.0,5.0,44995.0,U0130,广西,待发货,手机数码,,未知,,,,,2024-09-21,44995.0,True
DD202400705,2024-03-27,拼多多,P027,优衣库圆领T恤,79.0,3.0,237.0,U0089,浙江,已完成,服饰,1.0,顺丰,3.0,2024-03-28,2024-03-30,,2024/3/27,,True
DD202400756,2024-09-16,京东,P027,优衣库 圆领t恤,79.0,2.0,158.0,U0277,河北,待发货,服饰,,未知,,,,,2024-09-16,158.0,True
DD202400159,2024-02-27,微信小程序,P020,格力 电风扇,199.0,5.0,995.0,U1451,陕西,已完成,家电,2.0,圆通,4.0,2024-02-28,2024-03-02,,2024-02-27,995.0,True
DD202402651,2024-11-17,京东,P017,得力 文件夹,15.9,4.0,63.6,U0128,广东,已完成,电脑办公,2.0,圆通,4.0,2024-11-19,2024-11-21,,2024-11-17,63.6,True
DD202400635,2024-11-26,拼多多,P006,Redmi K70,2499.0,1.0,2499.0,U0351,广西,已完成,手机数码,3.0,邮政,6.0,2024-11-28,2024-12-04,,2024-11-26,2499.0,True
DD202400218,2024-12-14,天猫,P019,海尔 10kg 滚筒洗衣机 ,1899.0,0.0,0.0,U0826,山东,已完成,家电,1.0,京东物流,3.0,2024-12-15,2024-12-17,,2024-12-14,,True
DD202402831,2024-06-29,抖音,P021,米家扫地机器人,1599.0,-2.0,-3198.0,U0226,山东,已退款,家电,,未知,,,,质量问题,2024-06-29,-3198.0,False
DD202400660,2024-04-21,微信小程序,P030,南极人棉袜5双装,29.9,5.0,149.5,U0708,安徽,已发货,服饰,1.0,顺丰,3.0,2024-04-22,,,2024/4/21,149.5,True
DD202401754,2024-12-03,拼多多,P050,宜家 收纳箱 ,69.0,1.0,69.0,U0098,黑龙江,已完成,家居日用,2.0,圆通,4.0,2024-12-04,2024-12-07,,2024-12-03,69.0,True
DD202400591,2024-02-10,拼多多,P036,云南白药牙膏,39.9,-1.0,-39.9,U0452,浙江,已退款,美妆个护,,未知,,,,七天无理由,2024-02-10,-39.9,False
DD202402303,2024-11-04,京东,P042,农夫山泉 矿泉水,36.0,1.0,36.0,U0463,广东,待发货,食品,,未知,,,,,2024-11-04,36.0,True
DD202402105,2024-03-24,天猫,P040,三只松鼠 坚果礼盒,99.0,1.0,99.0,U0588,安徽,已完成,食品,1.0,京东物流,3.0,2024-03-26,2024-03-29,,2024/3/24,99.0,True
DD202400641,2024-10-29,拼多多,P033,兰蔻 小黑瓶精华,760.0,-1.0,-760.0,U0081,江苏,已退款,美妆个护,,未知,,,,物流太慢,2024-10-29,-760.0,False
DD202401338,2024-09-21,微信小程序,P047,全棉时代浴巾,79.0,-1.0,-79.0,U0719,广东,已退款,家居日用,,未知,,,,物流太慢,2024-09-21,-79.0,False
DD202402411,2024-06-17,天猫,P006,Redmi K70,2499.0,3.0,7497.0,U1070,福建,已完成,手机数码,2.0,圆通,4.0,2024-06-19,2024-06-23,,2024-06-17,7497.0,True
DD202400016,2024-07-22,天猫,P035,欧莱雅 洗面奶,129.0,-2.0,-258.0,U1426,江西,已退款,美妆个护,,未知,,,,物流太慢,2024/7/22,-258.0,False
DD202402757,2024-03-22,京东,P036,云南白药 牙膏,39.9,1.0,39.9,U0085,河南,已完成,美妆个护,2.0,中通,4.0,2024-03-23,2024-03-25,,2024-03-22,39.9,True
DD202400902,2024-01-22,抖音,P003,华为Mate60Pro,6999.0,-2.0,-13998.0,U0174,海南,已退款,手机数码,,未知,,,,不想要了,2024-01-22,-13998.0,False
DD202402623,2024-12-28,京东,P032,太平鸟 牛仔裤 ,259.0,2.0,518.0,U0567,河南,已完成,服饰,2.0,中通,4.0,2024-12-29,2025-01-03,,2024-12-28,,True
DD202401568,2024-04-29,抖音,P018,美的 1.5匹空调,2799.0,4.0,11196.0,U0402,广东,已取消,家电,,未知,,,,,2024-04-29,11196.0,False
DD202400710,2024-02-12,抖音,P040,三只松鼠 坚果礼盒,99.0,1.0,99.0,U1029,四川,待发货,食品,,未知,,,,,20240212,99.0,True
DD202400179,2024-04-25,京东,P048,公牛 插线板,49.9,5.0,249.5,U1229,四川,待发货,家居日用,,未知,,,,,2024-04-25,124.75,True
DD202402266,2024-06-13,拼多多,P007,AirPods Pro 2 ,1899.0,2.0,3798.0,U0871,广东,已完成,手机数码,1.0,顺丰,3.0,2024-06-14,2024-06-16,,2024-06-13,3798.0,True
DD202401971,2024-12-29,天猫,P039,完美日记 口红 ,89.0,4.0,356.0,U0781,辽宁,已完成,美妆个护,1.0,京东物流,3.0,2024-12-30,2025-01-01,,2024-12-29,356.0,True
DD202400914,2024-06-25,拼多多,P003,华为 Mate 60 Pro,6999.0,4.0,27996.0,U0588,未知,已完成,手机数码,2.0,中通,4.0,2024-06-27,2024-06-29,,2024/6/25,27996.0,True
DD202400257,2024-10-22,天猫,P018,美的 1.5匹空调,2799.0,3.0,8397.0,U0222,辽宁,已取消,家电,,未知,,,,,2024-10-22,8397.0,False
DD202401902,2024-02-02,京东,P041,蒙牛 纯牛奶24盒,69.9,5.0,349.5,U0313,山东,已发货,食品,2.0,中通,4.0,2024-02-03,,,2024-02-02,349.5,True
DD202400639,2024-10-29,京东,P022,苏泊尔电饭煲,,3.0,,U1446,重庆,已完成,家电,1.0,京东物流,3.0,2024-10-30,2024-11-01,,2024-10-29,,True
DD202402804,2024-03-14,抖音,P002,iphone 15 pro 256g,8999.0,4.0,35996.0,U0961,广东,已完成,手机数码,2.0,中通,4.0,2024-03-16,2024-03-18,,2024-03-14,35996.0,True
DD202402589,,微信小程序,P043,星巴克 咖啡豆,128.0,3.0,384.0,U1272,重庆,已完成,食品,1.0,顺丰,3.0,,,,,384.0,True
DD202400858,2024-07-09,天猫,P017,得力 文件夹,15.9,2.0,31.8,U0580,湖北,待发货,电脑办公,,未知,,,,,2024-07-09,31.8,True
DD202401822,2024-06-01,京东,P008,索尼 wh-1000xm5 耳机,2399.0,2.0,4798.0,U0526,四川,已完成,手机数码,1.0,顺丰,3.0,2024-06-02,2024-06-04,,2024-06-01,4798.0,True
DD202400496,2024-04-01,微信小程序,P027,优衣库 圆领T恤,79.0,1.0,79.0,U1189,江苏,已完成,服饰,1.0,顺丰,3.0,2024-04-02,2024-04-05,,2024-04-01,79.0,True
DD202400761,2024-08-01,天猫,P027,优衣库 圆领T恤,79.0,1.0,79.0,U1114,上海,已完成,服饰,1.0,京东物流,3.0,2024-08-03,2024-08-05,,2024-08-01,79.0,True
DD202400084,2024-11-26,天猫,P045,金龙鱼 食用油5L,89.9,1.0,89.9,U1053,浙江,已取消,食品,,未知,,,,,2024-11-26,,False
DD202400300,2024-07-04,天猫,P011,罗技 MX Master 3S 鼠标 ,699.0,2.0,1398.0,U1009,浙江,已完成,电脑办公,3.0,邮政,6.0,2024-07-07,2024-07-13,,2024-07-04,1398.0,True
DD202401120,2024-02-28,京东,P041,蒙牛 纯牛奶24盒,69.9,5.0,349.5,U0901,甘肃,已完成,食品,2.0,中通,4.0,2024-03-01,2024-03-04,,2024-02-28,349.5,True
DD202402313,2024-08-17,京东,P022,苏泊尔电饭煲 ,299.0,-3.0,-897.0,U1204,河北,已退款,家电,,未知,,,,不想要了,2024-08-17,-897.0,False
DD202401269,2024-06-28,天猫,P030,南极人 棉袜5双装,29.9,3.0,89.69999999999999,U0686,四川,已完成,服饰,1.0,京东物流,3.0,2024-06-29,2024-06-30,,2024-06-28,89.69999999999999,True
DD202401578,2024-05-25,拼多多,P008,索尼 WH-1000XM5 耳机,2399.0,3.0,7197.0,U1098,辽宁,已完成,手机数码,2.0,中通,4.0,2024-05-27,2024-05-30,,2024-05-25,7197.0,True
DD202402990,2024-06-10,京东,P046,网易严选 保温杯,99.0,3.0,297.0,U0314,贵州,已取消,家居日用,,未知,,,,,2024-06-10,297.0,False
DD202400246,2024-06-05,京东,P010,小米 充电宝20000mah,129.0,2.0,258.0,U0114,福建,已发货,手机数码,1.0,京东物流,3.0,2024-06-06,,,2024-06-05,258.0,True
DD202401858,2024-09-09,京东,P030,南极人 棉袜5双装,29.9,4.0,119.6,U0381,云南,已完成,服饰,1.0,京东物流,3.0,2024-09-11,2024-09-13,,2024-09-09,119.6,True
DD202401621,2024-08-15,京东,P001,iPhone 15 128G,5999.0,3.0,17997.0,U0341,江苏,已完成,手机数码,1.0,顺丰,3.0,2024-08-16,2024-08-19,,2024-08-15,17997.0,True
DD202400850,2024-01-10,拼多多,P018,美的 1.5匹空调,2799.0,5.0,13995.0,U0383,广东,已发货,家电,1.0,顺丰,3.0,2024-01-11,,,2024/1/10,13995.0,True
DD202402868,2024-03-15,拼多多,P010,小米 充电宝20000mAh,129.0,-3.0,-387.0,U0778,河北,已退款,手机数码,,未知,,,,价格保护,2024-03-15,-387.0,False
DD202401424,2024-08-01,抖音,P028,李宁 跑步鞋,399.0,5.0,1995.0,U0197,山东,待发货,服饰,,未知,,,,,2024-08-01,1995.0,True
DD202400079,2024-11-02,抖音,P015,华为平板MatePad11,2199.0,5.0,10995.0,U0764,上海,已完成,电脑办公,1.0,京东物流,3.0,2024-11-04,2024-11-06,,2024-11-02,10995.0,True
DD202401151,2024-07-02,抖音,P039,完美日记 口红,89.0,4.0,356.0,U0076,河南,已完成,美妆个护,1.0,京东物流,3.0,2024-07-03,2024-07-06,,2024-07-02,,True
DD202400752,2024-12-18,拼多多,P032,太平鸟牛仔裤,259.0,-3.0,-777.0,U0853,吉林,已退款,服饰,,未知,,,,七天无理由,2024-12-18,-777.0,False
DD202401506,2024-05-16,京东,P010,小米 充电宝20000mAh,129.0,-3.0,-387.0,U0655,江西,已退款,手机数码,,未知,,,,七天无理由,2024-05-16,-193.5,False
DD202402108,2024-06-09,京东,P046,网易严选保温杯,99.0,4.0,396.0,U0219,山东,已发货,家居日用,1.0,顺丰,3.0,2024-06-10,,,2024-06-09,396.0,True
DD202400878,2024-12-16,天猫,P039,完美日记口红,89.0,-2.0,-178.0,U0824,河南,已退款,美妆个护,,未知,,,,不想要了,2024-12-16,-178.0,False
DD202401152,2024-02-09,京东,P036,云南白药牙膏,39.9,5.0,199.5,U0767,广东,已完成,美妆个护,2.0,圆通,4.0,2024-02-11,2024-02-14,,2024-02-09,199.5,True
DD202402656,2024-01-29,微信小程序,P050,宜家 收纳箱,69.0,4.0,276.0,U1037,河南,已取消,家居日用,,未知,,,,,2024/1/29,276.0,False
DD202402714,2024-12-23,天猫,P019,海尔 10kg 滚筒洗衣机,1899.0,4.0,7596.0,U0065,河北,已完成,家电,1.0,顺丰,3.0,2024-12-24,2024-12-25,,2024-12-23,7596.0,True
DD202401914,2024-02-14,天猫,P021,米家扫地机器人,1599.0,2.0,3198.0,U0545,江西,待发货,家电,,未知,,,,,2024-02-14,3198.0,True
DD202401308,2024-08-08,天猫,P035,欧莱雅洗面奶,129.0,3.0,387.0,U0609,广西,已完成,美妆个护,1.0,京东物流,3.0,2024-08-09,2024-08-12,,2024-08-08,387.0,True
DD202402127,2024-08-18,微信小程序,P001,iPhone 15 128G ,5999.0,4.0,23996.0,U0912,山西,待发货,手机数码,,未知,,,,,2024-08-18,23996.0,True
DD202400483,2024-03-04,微信小程序,P018,美的 1.5匹空调,2799.0,2.0,5598.0,U0510,广东,待发货,家电,,未知,,,,,2024-03-04,5598.0,True
DD202402330,2024-03-01,京东,P004,小米 14 12+256G,4299.0,1.0,4299.0,U0811,湖南,已完成,手机数码,2.0,中通,4.0,2024-03-03,2024-03-06,,2024-03-01,4299.0,True
DD202400192,2024-07-20,天猫,P044,良品铺子 零食大礼包,139.0,1.0,139.0,U0193,浙江,已完成,食品,1.0,顺丰,3.0,2024-07-21,2024-07-22,,2024/7/20,,True
DD202402301,2024-08-23,未知,P017,得力 文件夹,15.9,3.0,47.7,U0995,湖南,已完成,电脑办公,1.0,顺丰,3.0,2024-08-24,2024-08-26,,2024-08-23,47.7,True
DD202401689,2024-06-22,天猫,P045,金龙鱼食用油5L,89.9,-3.0,-269.70000000000005,U0614,河北,已退款,食品,,未知,,,,七天无理由,2024/6/22,-269.70000000000005,False
DD202400099,2024-07-26,天猫,P048,公牛 插线板,49.9,1.0,49.9,U0814,河南,已发货,家居日用,2.0,圆通,4.0,2024-07-28,,,2024-07-26,49.9,True
DD202402719,2024-02-12,天猫,P008,索尼 WH-1000XM5 耳机,2399.0,1.0,2399.0,U0032,江苏,已完成,手机数码,2.0,中通,4.0,2024-02-14,2024-02-17,,2024-02-12,2399.0,True
DD202401220,2024-11-07,抖音,P046,网易严选 保温杯,99.0,,,U1405,贵州,待发货,家居日用,,未知,,,,,2024-11-07,,True
DD202401869,2024-06-12,微信小程序,P046,网易严选 保温杯,99.0,1.0,99.0,U0258,广西,已完成,家居日用,1.0,京东物流,3.0,2024-06-13,2024-06-15,,20240612,99.0,True
DD202402686,2024-01-26,微信小程序,P042,农夫山泉 矿泉水,36.0,-3.0,-108.0,U0564,山东,已退款,食品,,未知,,,,七天无理由,2024-01-26,-108.0,False
DD202400559,2024-01-16,天猫,P038,全棉时代 洗脸巾,49.9,5.0,249.5,U0847,浙江,待发货,美妆个护,,未知,,,,,2024-01-16,249.5,True
DD202401222,2024-03-27,天猫,P007,AirPods Pro 2,1899.0,2.0,3798.0,未知,广东,已发货,手机数码,1.0,顺丰,3.0,2024-03-28,,,2024/3/27,3798.0,True
DD202401598,2024-08-29,京东,P022,苏泊尔电饭煲,299.0,2.0,598.0,U0838,广东,待发货,家电,,未知,,,,,2024-08-29,598.0,True
DD202402029,2024-10-03,天猫,P041,蒙牛 纯牛奶24盒,,3.0,,U0097,浙江,已完成,食品,1.0,京东物流,3.0,2024-10-04,2024-10-06,,2024-10-03,,True
DD202400952,2024-07-25,未知,P037,海飞丝 洗发水,59.9,1.0,59.9,U0339,北京,已发货,美妆个护,2.0,中通,4.0,2024-07-27,,,2024-07-25,59.9,True
DD202402934,2024-02-28,天猫,P021,米家扫地机器人,1599.0,1.0,1599.0,U0356,四川,已完成,家电,1.0,顺丰,3.0,2024-02-29,2024-03-02,,2024-02-28,1599.0,True
DD202400348,2024-12-18,京东,P027,优衣库 圆领T恤,79.0,4.0,316.0,U1363,陕西,已完成,服饰,2.0,圆通,4.0,2024-12-20,2024-12-25,,2024/12/18,316.0,True
DD202400053,2024-01-26,天猫,P012,机械键盘 87键,199.0,5.0,995.0,U0051,广东,已完成,电脑办公,2.0,圆通,4.0,2024-01-29,2024-02-02,,2024-01-26,995.0,True
DD202402385,2024-04-13,拼多多,P007,AirPods Pro 2,1899.0,0.0,0.0,U0124,浙江,已完成,手机数码,1.0,顺丰,3.0,2024-04-14,2024-04-16,,2024/4/13,,True
DD202401410,2024-05-29,天猫,P017,得力 文件夹,15.9,1.0,15.9,U0168,浙江,已完成,电脑办公,2.0,圆通,4.0,2024-06-01,2024-06-04,,2024-05-29,15.9,True
DD202400486,2024-08-28,天猫,P034,雅诗兰黛 小棕瓶,950.0,3.0,2850.0,U0083,广东,已完成,美妆个护,2.0,中通,4.0,2024-08-29,2024-09-01,,2024-08-28,2850.0,True
DD202401356,2024-08-03,拼多多,P004,小米 14 12+256g,4299.0,1.0,4299.0,U0698,浙江,已完成,手机数码,1.0,顺丰,3.0,2024-08-04,2024-08-06,,2024/8/3,4299.0,True
DD202401484,2024-01-12,天猫,P034,雅诗兰黛小棕瓶,950.0,2.0,1900.0,U0228,浙江,已完成,美妆个护,1.0,京东物流,3.0,2024-01-13,2024-01-14,,2024-01-12,1900.0,True
DD202400536,2024-12-01,天猫,P047,全棉时代 浴巾,79.0,4.0,316.0,U0390,湖南,已完成,家居日用,3.0,邮政,6.0,2024-12-03,2024-12-09,,2024-12-01,316.0,True
DD202400688,2024-09-01,京东,P041,蒙牛 纯牛奶24盒,69.9,2.0,139.8,U0206,安徽,已完成,食品,1.0,京东物流,3.0,2024-09-02,2024-09-05,,2024-09-01,139.8,True
DD202400410,2024-06-21,京东,P035,欧莱雅 洗面奶,,5.0,,U0583,江西,待发货,美妆个护,,未知,,,,,2024-06-21,,True
DD202402461,2024-03-10,未知,P047,全棉时代 浴巾,79.0,2.0,158.0,U0860,贵州,待发货,家居日用,,未知,,,,,20240310,158.0,True
DD202401124,2024-11-12,京东,P007,AirPods Pro 2,1899.0,2.0,3798.0,U1050,江西,待发货,手机数码,,未知,,,,,2024-11-12,3798.0,True
DD202402159,2024-11-21,抖音,P027,优衣库 圆领T恤,79.0,5.0,395.0,U1129,江西,已完成,服饰,1.0,京东物流,3.0,2024-11-22,2024-11-23,,2024-11-21,395.0,True
DD202402742,2024-12-16,拼多多,P034,雅诗兰黛 小棕瓶,950.0,1.0,950.0,未知,河北,已完成,美妆个护,1.0,顺丰,3.0,2024-12-17,2024-12-18,,2024-12-16,950.0,True
DD202402008,2024-07-27,天猫,P011,罗技 mx master 3s 鼠标,699.0,5.0,3495.0,U1433,山西,已完成,电脑办公,1.0,京东物流,3.0,2024-07-28,2024-07-29,,2024-07-27,3495.0,True
DD202402785,2024-08-01,天猫,P034,雅诗兰黛 小棕瓶,950.0,4.0,3800.0,U0931,重庆,已完成,美妆个护,1.0,顺丰,3.0,2024-08-02,2024-08-04,,2024-08-01,3800.0,True
DD202401201,2024-09-16,京东,P040,三只松鼠 坚果礼盒,99.0,-3.0,-297.0,U0494,江苏,已退款,食品,,未知,,,,七天无理由,2024-09-16,-297.0,False
DD202402947,2024-12-20,京东,P047,全棉时代 浴巾,79.0,5.0,395.0,U0601,福建,待发货,家居日用,,未知,,,,,20241220,395.0,True
DD202400153,2024-02-11,京东,P017,得力文件夹,15.9,2.0,31.8,U0171,上海,已完成,电脑办公,1.0,顺丰,3.0,2024-02-12,2024-02-14,,2024/2/11,31.8,True
DD202400018,2024-11-05,未知,P009,小米手环8,249.0,4.0,996.0,U0216,广东,已发货,手机数码,2.0,中通,4.0,2024-11-07,,,2024-11-05,996.0,True
DD202402542,2024-03-03,京东,P018,美的 1.5匹空调,2799.0,2.0,5598.0,U0780,福建,已完成,家电,1.0,京东物流,3.0,2024-03-04,2024-03-07,,20240303,5598.0,True
DD202402599,2024-06-28,天猫,P044,良品铺子 零食大礼包,139.0,,,U0228,湖南,已发货,食品,1.0,顺丰,3.0,2024-06-29,,,2024-06-28,,True
DD202401495,2024-07-09,天猫,P009,小米手环8,249.0,3.0,747.0,未知,北京,已取消,手机数码,,未知,,,,,2024-07-09,747.0,False
DD202401291,2024-10-06,京东,P040,三只松鼠 坚果礼盒,99.0,2.0,198.0,U1063,浙江,已取消,食品,,未知,,,,,2024-10-06,198.0,False
DD202401707,2024-06-27,微信小程序,P044,良品铺子 零食大礼包,139.0,-1.0,-139.0,U0383,河北,已退款,食品,,未知,,,,质量问题,2024-06-27,-139.0,False
DD202401762,2024-04-16,抖音,P012,机械键盘87键,199.0,-1.0,-199.0,U1207,安徽,已退款,电脑办公,,未知,,,,七天无理由,2024/4/16,-199.0,False
DD202402893,2024-03-19,京东,P028,李宁 跑步鞋,399.0,3.0,1197.0,U1411,河南,已取消,服饰,,未知,,,,,2024-03-19,1197.0,False
DD202400732,2024-02-02,天猫,P032,太平鸟 牛仔裤,259.0,4.0,1036.0,U1281,吉林,已取消,服饰,,未知,,,,,2024-02-02,1036.0,False
DD202402448,2024-05-23,拼多多,P035,欧莱雅 洗面奶,129.0,4.0,516.0,U0340,新疆,已完成,美妆个护,3.0,邮政,6.0,2024-05-25,2024-05-28,,2024-05-23,516.0,True
